,City,Country,Lat,Lng,Date,Cloudiness,Max. Temp.,Humidity,Wind Speed
0,Thompson,CA,55.7435,-97.8558,1632201993,40,33.96,100,0.0
1,Dikson,RU,73.5069,80.5464,1632202050,75,34.86,77,9.53
2,Ushuaia,AR,-54.8,-68.3,1632201883,75,47.86,71,4.61
3,Kumluca,TR,36.3703,30.2869,1632202051,0,81.59,35,3.85
4,Letterkenny,IE,54.95,-7.7333,1632202052,100,51.17,98,4.41
5,Hilo,US,19.7297,-155.09,1632202053,75,74.93,83,3.44
6,Kapaa,US,22.0752,-159.319,1632202054,40,82.38,78,14.97
7,Darya Khan,PK,31.7912,71.1039,1632202055,0,99.0,36,10.87
8,Port Elizabeth,ZA,-33.918,25.5701,1632201811,20,53.89,82,13.8
9,Rikitea,PF,-23.1203,-134.9692,1632201791,5,74.1,74,12.71
10,Port Alfred,ZA,-33.5906,26.891,1632202057,74,58.8,62,18.41
11,Mataura,NZ,-46.1927,168.8643,1632202058,89,49.62,90,6.4
12,Severo-Kuril'sk,RU,50.6789,156.125,1632202059,14,50.54,81,31.05
13,Mar del Plata,AR,-38.0023,-57.5575,1632201781,0,46.35,77,12.57
14,Nogliki,RU,51.8333,143.1667,1632202060,22,59.65,50,2.1
15,Isangel,VU,-19.55,169.2667,1632202061,20,80.71,54,9.22
16,Castro Urdiales,ES,43.3829,-3.2204,1632202061,60,57.04,84,6.13
17,Busselton,AU,-33.65,115.3333,1632202062,0,65.71,54,10.8
18,Mahébourg,MU,-20.4081,57.7,1632202063,40,73.69,56,9.22
19,Phonhong,LA,18.5007,102.4166,1632202064,66,87.62,58,3.24
20,Grand-Lahou,CI,5.1367,-5.0242,1632202065,37,74.8,94,6.38
21,Portobelo,PA,9.55,-79.65,1632202066,100,77.41,85,5.91
22,Ribeira Grande,PT,38.5167,-28.7,1632202067,4,70.81,76,11.99
23,Kukshi,IN,22.2,74.75,1632202067,52,84.74,71,7.87
24,Tuatapere,NZ,-46.1333,167.6833,1632202068,54,51.13,71,6.31
25,Islāmpur,IN,26.2667,88.2,1632202068,32,85.24,71,10.69
26,Cape Town,ZA,-33.9258,18.4232,1632201882,0,52.21,62,14.97
27,Upernavik,GL,72.7868,-56.1549,1632202069,64,22.28,80,5.37
28,Bluff,NZ,-46.6,168.3333,1632202069,79,50.2,81,15.05
29,Flinders,AU,-34.5833,150.8552,1632202070,29,61.88,51,22.3
30,Provideniya,RU,64.3833,-173.3,1632202070,90,32.11,86,8.95
31,Padang,ID,-0.9492,100.3543,1632202071,32,87.85,72,5.17
32,Atuona,PF,-9.8,-139.0333,1632202072,3,77.9,71,20.54
33,Lompoc,US,34.6391,-120.4579,1632202037,1,64.71,77,6.91
34,Badarpur,IN,24.9,92.6,1632202073,99,85.42,72,3.11
35,Puerto Ayora,EC,-0.7393,-90.3518,1632202074,39,67.66,84,8.1
36,Kavieng,PG,-2.5744,150.7967,1632202074,89,84.18,68,3.15
37,Pisco,PE,-13.7,-76.2167,1632202075,33,60.85,82,5.75
38,Saint-Philippe,RE,-21.3585,55.7679,1632202076,91,72.99,70,12.68
39,Punta Arenas,CL,-53.15,-70.9167,1632202076,40,51.91,71,20.71
40,Vaini,TO,-21.2,-175.2,1632202077,40,71.76,88,9.22
41,East London,ZA,-33.0153,27.9116,1632202078,0,56.34,50,16.11
42,Cayenne,GF,4.9333,-52.3333,1632202078,40,75.24,100,0.0
43,Alora,ES,36.8236,-4.7058,1632202079,6,65.64,93,1.54
44,Kiunga,PG,-6.1219,141.2906,1632202080,100,84.29,70,2.17
45,Chui,UY,-33.6971,-53.4616,1632202081,92,54.12,84,16.51
46,Vao,NC,-22.6667,167.4833,1632202082,28,71.13,67,15.1
47,Kirakira,SB,-10.4544,161.9205,1632202082,18,82.36,76,10.67
48,Albany,US,42.6001,-73.9662,1632201928,99,60.75,91,5.82
49,San Patricio,US,28.017,-97.5169,1632202083,0,86.09,77,13.94
50,Iskateley,RU,67.6803,53.1512,1632202084,100,41.32,80,12.26
51,Haines Junction,CA,60.7522,-137.5108,1632202085,100,39.15,93,2.3
52,Barrow,US,71.2906,-156.7887,1632202086,90,33.82,80,21.85
53,Jingdezhen,CN,29.2947,117.2079,1632202087,0,87.1,45,5.53
54,Vanavara,RU,60.34,102.2797,1632202088,97,43.72,66,10.2
55,Olafsvik,IS,64.8945,-23.7142,1632202088,100,44.6,84,14.05
56,Mossamedes,AO,-15.1961,12.1522,1632202089,6,60.48,86,2.93
57,Verkh-Usugli,RU,52.7,115.1667,1632202090,68,61.9,62,8.05
58,Margate,GB,51.3813,1.3862,1632202091,74,49.86,83,1.28
59,Beringovskiy,RU,63.05,179.3167,1632202092,100,41.43,94,11.41
60,Leh,IN,34.1667,77.5833,1632202093,17,60.1,39,5.95
61,Nanortalik,GL,60.1432,-45.2371,1632202093,1,36.86,70,17.49
62,Broome,US,42.2506,-75.833,1632202094,1,61.57,88,10.36
63,Avarua,CK,-21.2078,-159.775,1632202095,75,75.25,94,3.44
64,Douglas,US,41.3,-96.167,1632201797,1,58.3,82,5.75
65,Bengkulu,ID,-3.8004,102.2655,1632202095,88,81.03,82,7.65
66,Kruisfontein,ZA,-34.0033,24.7314,1632202096,45,50.9,78,10.65
67,Marquette,US,46.5333,-87.6335,1632202097,99,67.44,95,14.88
68,Carnarvon,AU,-24.8667,113.6333,1632202097,0,91.47,12,12.66
69,Ubari,LY,26.5921,12.7805,1632202098,0,76.82,23,7.85
70,Mount Isa,AU,-20.7333,139.5,1632202098,37,76.77,11,21.85
71,Vestmannaeyjar,IS,63.4427,-20.2734,1632202098,100,45.73,88,27.47
72,Parakou,BJ,9.3372,2.6303,1632202099,88,71.22,96,4.45
73,Hobart,AU,-42.8794,147.3294,1632202035,75,55.26,50,18.41
74,Salekhard,RU,66.53,66.6019,1632202100,100,41.61,85,13.67
75,Xai-Xai,MZ,-25.0519,33.6442,1632202100,25,69.85,61,1.54
76,Turukhansk,RU,65.8167,87.9833,1632202101,99,44.55,67,7.96
77,Saskylakh,RU,71.9167,114.0833,1632202101,90,36.7,81,7.18
78,Itapirapuã,BR,-15.8233,-50.6133,1632202102,37,80.46,19,2.8
79,Belmonte,BR,-15.8631,-38.8828,1632202102,79,68.5,88,1.95
80,Clyde River,CA,70.4692,-68.5914,1632202103,86,28.35,72,5.41
81,Oktyabr'skoye,RU,43.0645,44.7417,1632202103,18,59.14,88,4.47
82,Codrington,AU,-38.2667,141.9667,1632202104,99,52.12,76,14.47
83,Papeete,PF,-17.5333,-149.5667,1632202104,20,78.73,65,8.05
84,São Filipe,CV,14.8961,-24.4956,1632202105,73,79.77,85,6.2
85,Jamestown,US,42.097,-79.2353,1632201832,1,69.39,77,11.5
86,Ampanihy,MG,-24.7,44.75,1632202106,0,76.28,40,11.3
87,Hofn,IS,64.2539,-15.2082,1632202106,100,48.07,69,2.89
88,Palmer,US,42.1584,-72.3287,1632202106,1,57.61,100,0.0
89,Fortuna,US,40.5982,-124.1573,1632202107,1,56.32,94,10.36
90,Deputatsky,RU,69.3,139.9,1632202108,99,31.32,57,4.76
91,Saldanha,ZA,-33.0117,17.9442,1632202108,100,42.85,70,10.36
92,Bambous Virieux,MU,-20.3428,57.7575,1632202109,40,73.65,56,9.22
93,Kupang,ID,-10.1667,123.5833,1632202109,20,93.78,40,21.85
94,Sitka,US,57.0531,-135.33,1632202110,90,55.29,82,13.8
95,Mogadishu,SO,2.0371,45.3438,1632201858,40,80.47,83,13.8
96,Purpe,RU,64.4803,76.6897,1632202111,100,34.09,99,7.07
97,Aklavik,CA,68.2191,-135.0107,1632202111,100,38.23,97,12.44
98,Tocopilla,CL,-22.092,-70.1979,1632202111,79,59.9,77,1.05
99,Lamu,KE,-2.2717,40.902,1632202112,13,80.82,77,15.46
100,Tual,ID,-5.6667,132.75,1632202113,78,79.77,80,13.4
101,Lagoa,PT,39.05,-27.9833,1632202113,11,69.51,78,13.78
102,Yellowknife,CA,62.456,-114.3525,1632202083,75,43.32,93,9.22
103,Quepos,CR,9.4236,-84.1652,1632201954,99,79.9,86,2.13
104,Port Hardy,CA,50.6996,-127.4199,1632202114,90,55.58,88,12.66
105,Keetmanshoop,NA,-26.5833,18.1333,1632202115,0,50.92,46,12.66
106,São Félix do Xingu,BR,-6.6447,-51.995,1632202115,77,78.15,45,1.36
107,Bredasdorp,ZA,-34.5322,20.0403,1632202116,63,47.52,76,3.44
108,Kousséri,CM,12.0769,15.0306,1632202116,20,76.96,88,4.61
109,Departamento de Maldonado,UY,-34.6667,-54.9167,1632202117,64,51.19,82,16.08
110,Mahibadhoo,MV,3.7833,72.9667,1632202117,19,83.7,72,10.89
111,Buraidah,SA,26.326,43.975,1632202118,0,81.05,14,2.06
112,Castro,BR,-24.7911,-50.0119,1632202119,6,68.76,52,1.61
113,Najrān,SA,17.4924,44.1277,1632202120,9,79.45,18,9.33
114,Havelock,US,34.8791,-76.9013,1632202007,75,75.15,94,6.91
115,Cherskiy,RU,68.75,161.3,1632202121,48,35.51,49,7.38
116,Kismayo,SO,-0.3582,42.5454,1632202122,19,79.27,74,12.77
117,Concarneau,FR,47.875,-3.9225,1632202123,29,56.17,85,8.34
118,Erzin,TR,36.9559,36.2,1632202123,0,72.12,63,1.36
119,Luganville,VU,-15.5333,167.1667,1632202124,55,78.49,73,9.13
120,Longyearbyen,SJ,78.2186,15.6401,1632202125,75,40.84,93,0.0
121,Port Blair,IN,11.6667,92.75,1632202126,100,79.43,86,8.88
122,Bethel,US,41.3712,-73.414,1632202126,1,64.76,88,0.0
123,Hualmay,PE,-11.0964,-77.6139,1632202127,73,60.46,84,8.46
124,Qaanaaq,GL,77.484,-69.3632,1632202128,50,11.97,72,10.22
125,Buluang,PH,13.3068,123.3425,1632202128,82,84.11,78,2.84
126,New Norfolk,AU,-42.7826,147.0587,1632202129,96,54.9,78,5.59
127,Notsé,TG,6.95,1.1667,1632202129,59,71.98,98,4.94
128,Saint-Joseph,RE,-21.3667,55.6167,1632202130,77,71.98,66,13.96
129,Vila Velha,BR,-20.3297,-40.2925,1632202131,20,71.55,88,8.05
130,Ballina,AU,-28.8667,153.5667,1632202131,40,68.18,63,14.97
131,Hambantota,LK,6.1241,81.1185,1632202133,20,89.94,66,13.8
132,Arraial do Cabo,BR,-22.9661,-42.0278,1632202125,94,70.77,91,23.73
133,Anadyr,RU,64.75,177.4833,1632202133,75,34.3,93,13.42
134,Yingkou,CN,40.6648,122.2283,1632202134,100,64.98,75,18.52
135,George Town,MY,5.4112,100.3354,1632202135,40,82.35,83,3.44
136,Lavrentiya,RU,65.5833,-171.0,1632202135,66,34.66,66,1.61
137,Naze,JP,28.3667,129.4833,1632202136,0,81.52,63,4.34
138,Ossora,RU,59.2353,163.0719,1632202138,100,48.43,95,27.27
139,Acajutla,SV,13.5928,-89.8275,1632202139,95,76.39,89,5.41
140,Salalah,OM,17.0151,54.0924,1632202140,40,82.49,78,4.61
141,Constitución,CL,-35.3333,-72.4167,1632202140,0,50.45,72,5.28
142,Shakawe,BW,-18.3667,21.85,1632202141,3,68.14,24,8.05
143,Esperance,AU,-33.8667,121.9,1632202142,0,71.44,39,4.83
144,Korla,CN,41.7597,86.1469,1632202142,12,82.69,14,4.32
145,Inhambane,MZ,-23.865,35.3833,1632202143,75,73.38,73,6.91
146,Meulaboh,ID,4.1363,96.1285,1632202144,96,84.2,65,2.95
147,Hermanus,ZA,-34.4187,19.2345,1632202145,84,51.06,70,9.78
148,Chokurdakh,RU,70.6333,147.9167,1632202147,98,35.4,48,10.04
149,Butaritari,KI,3.0707,172.7902,1632202148,77,83.3,71,14.36
150,Aden,YE,12.7794,45.0367,1632202122,10,85.03,80,12.12
151,Katsuura,JP,35.1333,140.3,1632202149,49,80.64,64,10.56
152,Berlevåg,NO,70.8578,29.0864,1632202150,0,37.35,70,31.32
153,Nanhai,CN,30.1282,111.7784,1632202151,0,89.89,45,5.84
154,Ilhabela,BR,-23.7781,-45.3581,1632201921,16,74.82,76,4.74
155,Quatre Cocos,MU,-20.2078,57.7625,1632202152,74,73.51,61,15.12
156,Itacoatiara,BR,-3.1431,-58.4442,1632202153,90,76.26,84,3.2
157,Khatanga,RU,71.9667,102.5,1632202153,100,33.66,99,5.66
158,Faanui,PF,-16.4833,-151.75,1632202154,10,79.3,69,11.16
159,Werda,BW,-25.2667,23.2833,1632202155,0,51.37,30,8.37
160,Kavaratti,IN,10.5669,72.642,1632202155,100,81.54,79,11.59
161,El Rodeo,GT,14.9167,-91.9667,1632202156,98,69.87,90,5.08
162,Garissa,KE,-0.4536,39.6401,1632202157,12,76.73,68,16.96
163,Kidal,ML,18.4411,1.4078,1632202157,2,83.77,18,4.34
164,Koumac,NC,-20.5667,164.2833,1632202158,32,76.77,51,3.62
165,Praia da Vitória,PT,38.7333,-27.0667,1632202158,75,68.25,88,13.0
166,Sola,VU,-13.8833,167.55,1632202159,100,78.17,76,18.37
167,Ntoum,GA,0.3833,9.7833,1632202160,94,76.77,94,2.86
168,Grindavik,IS,63.8424,-22.4338,1632202161,90,45.07,87,21.85
169,Namatanai,PG,-3.6667,152.4333,1632202161,100,83.64,71,6.8
170,Guerrero Negro,MX,27.9769,-114.0611,1632202068,0,70.93,76,10.09
171,Uray,RU,60.1247,64.7758,1632202162,100,39.51,68,7.72
172,Hasaki,JP,35.7333,140.8333,1632202163,75,77.4,60,8.55
173,Portland,US,45.5234,-122.6762,1632201876,1,63.18,69,0.0
174,Zhangjiakou,CN,40.81,114.8794,1632202164,17,68.4,46,12.26
175,Bathsheba,BB,13.2167,-59.5167,1632202164,20,83.01,74,10.36
176,Cabo San Lucas,MX,22.8909,-109.9124,1632201906,98,80.08,82,5.99
177,Laguna,US,38.421,-121.4238,1632201953,1,79.3,45,4.61
178,Maţāy,EG,28.419,30.7792,1632202165,0,78.55,61,15.75
179,Pyn U Lwin,MM,22.0333,96.4667,1632202166,100,66.81,96,2.66
180,Venado Tuerto,AR,-33.7456,-61.9688,1632202167,3,48.31,82,8.3
181,Ibotirama,BR,-12.1853,-43.2206,1632202168,54,74.95,46,1.21
182,Lüderitz,NA,-26.6481,15.1594,1632202145,0,58.08,53,8.59
183,Along,IN,28.1667,94.7667,1632202168,10,91.35,52,1.7
184,Tiksi,RU,71.6872,128.8694,1632202169,99,38.86,65,10.83
185,Tasiilaq,GL,65.6145,-37.6368,1632202170,98,35.76,80,6.98
186,Ningbo,CN,29.8782,121.5495,1632202170,20,91.38,49,4.47
187,Unaí,BR,-16.3575,-46.9061,1632202171,11,77.97,36,1.34
188,Riyadh,SA,24.6877,46.7219,1632202137,0,89.65,13,3.44
189,Bushehr,IR,28.9684,50.8385,1632202173,0,91.42,55,6.91
190,Pāsighāt,IN,28.0667,95.3333,1632202174,7,88.77,63,4.43
191,Ploemeur,FR,47.7333,-3.4333,1632202174,0,54.75,100,9.22
192,Lorengau,PG,-2.0226,147.2712,1632202175,68,84.07,64,3.58
193,Airai,TL,-8.9266,125.4092,1632202176,67,78.22,37,6.6
194,Torbay,CA,47.6666,-52.7314,1632202177,1,39.97,87,5.75
195,Kyshtovka,RU,56.555,76.6271,1632202178,100,37.99,83,11.1
196,Matagami,CA,49.7502,-77.6328,1632202178,75,62.71,55,12.66
197,Iqaluit,CA,63.7506,-68.5145,1632202161,90,31.73,80,10.36
198,Kahului,US,20.8947,-156.47,1632202179,20,78.82,61,13.8
199,College,US,64.8569,-147.8028,1632202180,75,35.58,64,4.61
200,Lebu,CL,-37.6167,-73.65,1632202134,3,47.68,87,14.43
201,Turaif,SA,31.6725,38.6637,1632202182,0,75.45,41,9.22
202,Plettenberg Bay,ZA,-34.0527,23.3716,1632202182,59,51.75,66,6.15
203,Saint Paul Harbor,US,57.79,-152.4072,1632202183,6,43.63,55,25.12
204,Karpogory,RU,64.0019,44.4451,1632202010,0,37.42,74,2.86
205,Husavik,IS,66.0449,-17.3389,1632202159,100,40.91,81,7.09
206,Krasnoarmiys'k,UA,48.282,37.1758,1632202185,92,51.78,65,9.08
207,Tirumullaivāsal,IN,11.2333,79.8333,1632202185,12,90.97,55,13.09
208,Nyzhnya Duvanka,UA,49.5846,38.1743,1632202186,100,52.88,74,8.23
209,Olaine,LV,56.7853,23.9381,1632202187,0,42.76,87,6.91
210,Ismailia,EG,30.6043,32.2723,1632202188,0,76.32,79,4.21
211,Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,1632202188,8,83.93,17,0.96
212,Tartous,SY,34.889,35.8866,1632202189,0,73.69,49,3.38
213,Marawi,PH,7.9986,124.2928,1632202189,89,78.82,79,2.95
214,Fare,PF,-16.7,-151.0167,1632202190,2,79.0,67,11.92
215,Praia,CV,14.9215,-23.5087,1632202190,20,79.34,89,13.8
216,Bronnitsy,RU,55.4194,38.2708,1632202191,90,45.18,93,13.42
217,Los Llanos de Aridane,ES,28.6585,-17.9182,1632202192,0,69.55,60,10.36
218,Mitsamiouli,KM,-11.3847,43.2844,1632202192,20,80.89,61,11.5
219,Maningrida,AU,-12.0667,134.2667,1632202193,98,91.62,41,12.91
220,Baharly,TM,38.4362,57.4316,1632202193,0,77.58,20,9.35
221,Pitimbu,BR,-7.4706,-34.8086,1632202194,47,72.19,78,7.61
222,Kaitangata,NZ,-46.2817,169.8464,1632202194,100,48.65,89,7.34
223,Sandviken,SE,60.6167,16.7667,1632202195,100,42.55,87,4.54
224,Iwanai,JP,42.9744,140.5089,1632202195,100,72.05,61,3.11
225,Gorontalo,ID,0.5412,123.0595,1632201945,95,80.76,85,4.47
226,Goroka,PG,-6.0834,145.3873,1632202197,100,68.56,80,2.35
227,Hong Kong,HK,22.2855,114.1577,1632201921,59,91.36,67,3.98
228,Williston,US,48.147,-103.618,1632202046,13,48.61,47,5.66
229,Galveston,US,29.3669,-94.9669,1632202120,1,84.16,84,10.36
230,Colares,PT,38.7992,-9.4469,1632202200,0,67.19,57,13.62
231,Itaituba,BR,-4.2761,-55.9836,1632202201,52,72.57,89,2.89
232,Umm Kaddadah,SD,13.6017,26.6876,1632202201,100,82.98,56,8.93
233,Nuevo Progreso,MX,23.1667,-97.95,1632202202,9,77.31,92,5.32
234,Diego de Almagro,CL,-26.3667,-70.05,1632202209,52,56.07,52,3.24
235,Mahon,ES,39.8885,4.2658,1632202209,40,66.76,88,9.22
236,Talnakh,RU,69.4865,88.3972,1632202210,71,39.83,66,6.73
237,Menongue,AO,-14.6585,17.691,1632202210,50,74.8,31,2.75
238,Kaoma,ZM,-14.7833,24.8,1632202211,3,74.48,23,9.19
239,Esim,GH,4.8699,-2.2405,1632202211,66,75.52,93,6.17
240,Shache,CN,38.4167,77.2406,1632202212,50,86.9,10,9.48
241,Dukat,RU,62.55,155.55,1632202213,100,36.19,99,8.14
242,Ritchie,ZA,-29.038,24.6028,1632202213,0,45.61,46,16.67
243,Bosaso,SO,11.2842,49.1816,1632202214,0,91.38,58,5.75
